order_id,user_id,driver_id,user_credit,user_pref_quiet,user_pref_speed,user_pref_car_type,start_lat,start_lon,dest_lat,dest_lon
ORD00001,1,478.0,62,0,0,1,31.261658,121.327801,31.351435,121.469413
ORD00002,1,42.0,62,0,0,1,31.275392,121.445644,31.214339,121.362293
ORD00003,1,164.0,62,0,0,1,31.230919,121.359622,31.330806,121.478041
ORD00004,2,198.0,55,0,1,3,31.265923,121.431844,31.219305,121.340504
ORD00005,2,473.0,55,0,1,3,31.327419,121.411605,31.276541,121.458603
ORD00006,2,147.0,55,0,1,3,31.209165,121.339574,31.335519,121.391017
ORD00007,3,310.0,58,1,0,1,31.269518,121.406933,31.336752,121.381443
ORD00008,3,39.0,58,1,0,1,31.342618,121.346434,31.319596,121.37291
ORD00009,3,244.0,58,1,0,1,31.361421,121.486571,31.214278,121.391126
ORD00010,4,157.0,73,0,0,2,31.39307,121.392465,31.230185,121.337522
ORD00011,4,290.0,73,0,0,2,31.201309,121.428703,31.268235,121.467019
ORD00012,4,162.0,73,0,0,2,31.338033,121.310059,31.322697,121.341718
ORD00013,5,442.0,87,1,1,4,31.359024,121.345242,31.383111,121.348719
ORD00014,5,191.0,87,1,1,4,31.340586,121.309705,31.370995,121.372542
ORD00015,5,437.0,87,1,1,4,31.372083,121.319039,31.21397,121.459314
ORD00016,6,166.0,89,1,1,2,31.20987,121.446082,31.395689,121.499271
ORD00017,6,111.0,89,1,1,2,31.321136,121.423161,31.281121,121.438043
ORD00018,6,73.0,89,1,1,2,31.314963,121.484784,31.291446,121.398938
ORD00019,7,54.0,92,1,1,2,31.312598,121.337847,31.219352,121.392687
ORD00020,7,135.0,92,1,1,2,31.311566,121.376312,31.351294,121.468443
ORD00021,7,385.0,92,1,1,2,31.302538,121.441046,31.229921,121.440392
ORD00022,8,351.0,84,1,1,2,31.254938,121.437115,31.220579,121.34139
ORD00023,8,400.0,84,1,1,2,31.22153,121.409779,31.223941,121.429929
ORD00024,8,293.0,84,1,1,2,31.2008,121.392501,31.294163,121.452599
ORD00025,9,367.0,72,0,0,1,31.30109,121.479865,31.204085,121.467686
ORD00026,9,402.0,72,0,0,1,31.31438,121.300758,31.277806,121.317985
ORD00027,9,218.0,72,0,0,1,31.394894,121.381087,31.27817,121.44059
ORD00028,10,132.0,53,1,1,3,31.387336,121.411181,31.313791,121.44703
ORD00029,10,475.0,53,1,1,3,31.205517,121.468093,31.263097,121.328074
ORD00030,10,123.0,53,1,1,3,31.340825,121.345101,31.35845,121.367068
ORD00031,11,366.0,97,0,0,3,31.250189,121.482853,31.258311,121.458466
ORD00032,11,470.0,97,0,0,3,31.301664,121.489683,31.233947,121.339555
ORD00033,11,105.0,97,0,0,3,31.267088,121.374122,31.24926,121.452478
ORD00034,12,59.0,72,1,1,3,31.365145,121.313513,31.258845,121.481118
ORD00035,12,48.0,72,1,1,3,31.374532,121.407313,31.30027,121.46892
ORD00036,12,318.0,72,1,1,3,31.310314,121.492137,31.369545,121.353281
ORD00037,13,415.0,53,0,1,2,31.382601,121.481952,31.265065,121.343541
ORD00038,13,400.0,53,0,1,2,31.230757,121.416143,31.364522,121.36092
ORD00039,13,169.0,53,0,1,2,31.390979,121.349832,31.27096,121.357618
ORD00040,14,309.0,58,1,0,4,31.223921,121.38511,31.319502,121.499661
ORD00041,14,112.0,58,1,0,4,31.28468,121.484484,31.377799,121.473246
ORD00042,14,283.0,58,1,0,4,31.376228,121.419932,31.23524,121.337512
ORD00043,15,198.0,95,0,0,3,31.26534,121.429567,31.231591,121.39252
ORD00044,15,197.0,95,0,0,3,31.275761,121.35205,31.319786,121.475969
ORD00045,15,426.0,95,0,0,3,31.223713,121.302271,31.28413,121.340621
ORD00046,16,257.0,55,0,1,2,31.298556,121.423171,31.24245,121.330025
ORD00047,16,58.0,55,0,1,2,31.387552,121.441963,31.296834,121.49732
ORD00048,16,137.0,55,0,1,2,31.214256,121.479797,31.299059,121.423771
ORD00049,17,353.0,50,1,0,3,31.29893,121.496213,31.307617,121.388929
ORD00050,17,406.0,50,1,0,3,31.237485,121.345032,31.395474,121.319585
ORD00051,17,219.0,50,1,0,3,31.22021,121.358835,31.379088,121.494578
ORD00052,18,110.0,97,0,1,3,31.29213,121.366516,31.212038,121.382348
ORD00053,18,296.0,97,0,1,3,31.310245,121.399668,31.200027,121.477674
ORD00054,18,334.0,97,0,1,3,31.367266,121.380687,31.320365,121.418083
ORD00055,19,248.0,79,0,1,4,31.257638,121.443399,31.247274,121.474492
ORD00056,19,421.0,79,0,1,4,31.271684,121.495172,31.290016,121.37667
ORD00057,19,408.0,79,0,1,4,31.311506,121.368767,31.289699,121.41986
ORD00058,20,179.0,99,0,1,3,31.26976,121.423419,31.361468,121.430481
ORD00059,20,436.0,99,0,1,3,31.282173,121.305995,31.257527,121.305864
ORD00060,20,90.0,99,0,1,3,31.267477,121.433566,31.237876,121.452371
ORD00061,21,83.0,79,1,0,4,31.249256,121.413594,31.237049,121.356299
ORD00062,21,203.0,79,1,0,4,31.202944,121.398806,31.398293,121.387046
ORD00063,21,463.0,79,1,0,4,31.36205,121.454586,31.296645,121.361369
ORD00064,22,85.0,88,1,1,2,31.287345,121.355118,31.234884,121.474195
ORD00065,22,487.0,88,1,1,2,31.251697,121.307813,31.315096,121.311368
ORD00066,22,88.0,88,1,1,2,31.398497,121.330092,31.251184,121.409383
ORD00067,23,157.0,91,1,1,3,31.392304,121.389548,31.357372,121.373521
ORD00068,23,142.0,91,1,1,3,31.281366,121.471735,31.344126,121.427513
ORD00069,23,471.0,91,1,1,3,31.277666,121.344804,31.371435,121.332783
ORD00070,24,343.0,80,0,1,2,31.34909,121.477803,31.283316,121.348439
ORD00071,24,191.0,80,0,1,2,31.339364,121.308933,31.334223,121.301522
ORD00072,24,49.0,80,0,1,2,31.273277,121.34245,31.224445,121.334345
ORD00073,25,477.0,61,0,1,3,31.256478,121.337117,31.309081,121.44767
ORD00074,25,28.0,61,0,1,3,31.250536,121.316009,31.277705,121.465054
ORD00075,25,333.0,61,0,1,3,31.281287,121.455124,31.236309,121.42186
ORD00076,26,335.0,72,0,1,4,31.241354,121.417778,31.269653,121.46541
ORD00077,26,455.0,72,0,1,4,31.216743,121.422181,31.290945,121.470277
ORD00078,26,158.0,72,0,1,4,31.348749,121.427755,31.231156,121.338784
ORD00079,27,64.0,76,1,0,2,31.22464,121.414236,31.278565,121.424986
ORD00080,27,346.0,76,1,0,2,31.216445,121.377613,31.203834,121.462749
ORD00081,27,62.0,76,1,0,2,31.288822,121.401871,31.225364,121.32305
ORD00082,28,115.0,93,1,0,2,31.399515,121.458086,31.284788,121.408329
ORD00083,28,106.0,93,1,0,2,31.358867,121.323147,31.347875,121.328765
ORD00084,28,135.0,93,1,0,2,31.314083,121.376766,31.390437,121.432045
ORD00085,29,201.0,85,0,0,3,31.35616,121.472578,31.259635,121.475174
ORD00086,29,255.0,85,0,0,3,31.235492,121.488329,31.396919,121.498092
ORD00087,29,393.0,85,0,0,3,31.232611,121.384658,31.284066,121.474414
ORD00088,30,278.0,76,0,1,1,31.261801,121.461521,31.277237,121.469176
ORD00089,30,313.0,76,0,1,1,31.323907,121.494104,31.212137,121.328802
ORD00090,30,305.0,76,0,1,1,31.224682,121.343069,31.398616,121.493383
ORD00091,31,469.0,82,0,1,2,31.298129,121.308944,31.226537,121.353062
ORD00092,31,436.0,82,0,1,2,31.290624,121.306101,31.226134,121.391982
ORD00093,31,393.0,82,0,1,2,31.243766,121.380777,31.347042,121.416687
